chr	start	end
chr1	0	123400000
chr1	123400000	248956422
chr10	0	39800000
chr10	39800000	133797422
chr11	0	53400000
chr11	53400000	135086622
chr12	0	35500000
chr12	35500000	133275309
chr13	0	17700000
chr13	17700000	114364328
chr14	0	17200000
chr14	17200000	107043718
chr15	0	19000000
chr15	19000000	101991189
chr16	0	36800000
chr16	36800000	90338345
chr17	0	25100000
chr17	25100000	83257441
chr18	0	18500000
chr18	18500000	80373285
chr19	0	26200000
chr19	26200000	58617616
chr2	0	93900000
chr2	93900000	242193529
chr20	0	28100000
chr20	28100000	64444167
chr21	0	12000000
chr21	12000000	46709983
chr22	0	15000000
chr22	15000000	50818468
chr3	0	90900000
chr3	90900000	198295559
chr4	0	50000000
chr4	50000000	190214555
chr5	0	48800000
chr5	48800000	181538259
chr6	0	59800000
chr6	59800000	170805979
chr7	0	60100000
chr7	60100000	159345973
chr8	0	45200000
chr8	45200000	145138636
chr9	0	43000000
chr9	43000000	138394717
chrX	0	61000000
chrX	61000000	156040895
chrY	0	10400000
chrY	10400000	57227415
